#options: 1920x1080 fps=24000/1001 timebase=1001/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1759 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:31 out:32 type:b dur:2 cpbdur:2 q:27.42 aq:19.80 tex:13469 mv:16539 misc:6200 imb:206 pmb:1883 smb:6071 d:- ref:0 ;
in:34 out:33 type:P dur:2 cpbdur:2 q:27.98 aq:18.77 tex:108153 mv:55486 misc:2033 imb:4898 pmb:2169 smb:1093 d:- ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:27.78 aq:20.87 tex:18486 mv:19273 misc:6529 imb:394 pmb:2085 smb:5681 d:- ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:28.35 aq:19.05 tex:122732 mv:51902 misc:1038 imb:6058 pmb:1211 smb:891 d:- ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:28.16 aq:18.58 tex:70844 mv:52455 misc:5749 imb:2168 pmb:3328 smb:2664 d:- ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:28.07 aq:19.99 tex:20137 mv:21183 misc:6760 imb:369 pmb:2298 smb:5493 d:- ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:28.25 aq:20.28 tex:19096 mv:22444 misc:6500 imb:525 pmb:2152 smb:5483 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:28.18 aq:17.65 tex:101383 mv:46186 misc:1159 imb:6307 pmb:929 smb:924 d:- ref:0 ;
in:40 out:40 type:B dur:2 cpbdur:2 q:28.26 aq:18.53 tex:65417 mv:51286 misc:5497 imb:2302 pmb:3373 smb:2485 d:- ref:0 ;
in:39 out:41 type:b dur:2 cpbdur:2 q:28.31 aq:20.27 tex:16832 mv:20421 misc:6451 imb:482 pmb:2053 smb:5625 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:28.22 aq:19.17 tex:16432 mv:19758 misc:6442 imb:414 pmb:2144 smb:5602 d:- ref:0 ;
in:46 out:43 type:P dur:2 cpbdur:2 q:28.32 aq:17.45 tex:83336 mv:39319 misc:1209 imb:6518 pmb:706 smb:936 d:- ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:28.25 aq:17.53 tex:63098 mv:49468 misc:5098 imb:2461 pmb:3332 smb:2367 d:- ref:0 ;
in:43 out:45 type:b dur:2 cpbdur:2 q:28.22 aq:19.02 tex:19677 mv:23688 misc:6699 imb:542 pmb:2457 smb:5161 d:- ref:0 ;
